Pros,Cons,Pros_topics,Cons_topics
"If you want to learn at the fastest growing company ever, uber is the only option. Amazing talent and the ability to move fast.",I wish they covered gas repairs and some benefits,things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
I try  to work only 10-20 hours week.,"wear and tear on your vehicle depends on how many hours of driving you put in, drunk people may vomit inside your vehicle, your get sometimes very rude passengers.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Flexible hours, work any time of the day and night. Ability to work anywhere in your market. Meeting new people.","No benefits (there are perks after you reach ""milestones""); 1099 filing (no federal or state withholdings)-you get nailed by the IRS on April 15th; you must work the most desirable social hours in life in order to make the most money; no compensation for gas.",income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
Independent contractor; no direct boss; you set your own schedule; company provides options to get you financed &amp; in a vehicle to drive for them.,"Low pay, long commute into DC traffic in the morning and evening rush hours.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Decent facilities, catered lunches, free snacks &amp; drinks, no metrics",work a lot of hours,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
get to meet new people,"Horrible pay, extreme wear on car in a short time. Sri benefits,",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
"Innovative idea, flexible hours, interesting passengers","the rating system is not based on fixed points and sometimes they send wrong directions and then the rider and driver facing problems together, not stable work as they can end your account any time, not easy to contact them to solve any problem",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Flexible hours, many clients, easy to start working with Uber.","Low payments, rude clients, unfair rating system, many bugs in mobile app.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
You must be really desperate or a refugee.,"- Hours are very long and difficult, but the challenge is greatly appreciated by highly-driven and motivated individuals. Having come from other start-ups that were moving a break-neck speed (relatively speaking), the speed at Uber blows them all away.",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
The pay is nice and working from home is great. Hands off management is cool too I suppose.,"Constant change and the overseas workers are very bad at their jobs so your job is basically just cleaning up their mess. They are phasing out all the work from home workers in the US so they can take over, too. You never know when someone is going to disappear and nobody will tell you what's going on. No heads up whatsoever about your contract being extended. I've met with my manager twice in 6 months. No values.",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Flexible, easy to use technology, pay is consistent and timely. Partner events occasionally give out free stuff. I can choose my own hours which is nice.","Need to raise rates for drivers because the minimum rate is too low. Need to increase Uber plus volume, or automatically increase rates when people receive an upgraded ride for free.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Amazingly flexible schedules, great pay","Shady company, they tell the costumers tip is included. You won't make as much as they say. There are fees that add up. Serous wear and tear on your vehicle.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Great demand,service and status pays on time","Expectations not verbalized at any point, no manager reviews",things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"Fast expanding company, quality employees, technologically advanced","Long hours, constant focus required, difficult to keep up with the pace",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
"Great environment, lots of perks and room for growth.",It will be great if UBER can make all the efforts possible to start an employee match on their 401K plan.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Go to work when I want with no strings. Make money for my family and not someone else's. Meeting interesting people and providing a service.,Short rides that cost me money while Uber still profits. Less than rewarding reward program that basically offers nothing. Rating system that can only go one real direction DOWN,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
You can work as much as you like.,"Working peak hours after all is said and done has equated me $14-20 dollars an hour before consideration of gas and wear and tear on my vehicle. Uber advertises that you can make $25+ an hour and I don't see how this is possible. People often take trips using the minimum required payment which is $4, after uber fees you are left with $2.40. This wouldn't be so bad if you didn't factor in the 4-8 minutes it takes to pick...",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
quick money and no boss,Growing fast comes w/ growing pains. Technical debt and some long nights.,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
Was my 1st mointh. I drove 8-9 hrs/ day 5 days a week. All passengers were pleasant. I'm trying to drive 10-12 hrs/day from now on,"evil and exploitive environment, they taunt you if you complain",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"As a software engineer at Uber, I get to work on products that ship to millions of users and improve their lives in a very tangible way. We are constantly innovating, designing new products and features, and shipping them fast. Our roadmap is heavily data-driven, and we use the information we collect to make informed decisions about what works and what doesn't. Engineers at Uber have a lot of say in how products are architected...","Uber Driver App's navi system is sometimes not quick enough to respond when there's a large interchange on the highway, as far as showing which of the several forks to take. Also zooms in very erratically, making it hard sometimes to see exactly where to turn. It's works well enough enough of the time, but it's still waaay less intuitive than Google Maps",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Lots of passenger requests.  Highest average gross per ride.   Customer support is faster and better than Lyft and Sidecar.   Nice bonus opportunities.,They take a huge chunk of commission per ride.   28% on UberXL!  25% on UberX and UberPool!  Not as many perks as Lyft.   No ability to control pickup and drop-off radius nor ability to set fare pricing like Sidecar,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"Make your own schedule , be your own boss","Pay is so so , rating is not explained. No benefits at all.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Flexible hours, remote work, pay","weekly video meetings, boring, micro management much?",income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"easy money, make your own hours, Make as much as you want, weekly pay check. Driver services respond fairly quickly","have to pay own taxes, maintain own vehicle, not enough benefits for drivers.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
flexibility and meeting new people,"oversaturated, cannot make money to survive",growing pay money growth making getting things long management gas,time hours make money long work job uber working like
"flexible scheduling, good money, easy job, fun job, unlimited time off, no overhead, drive your own car, use their phone",it was difficult dealing with the disparity of having your own phone and their phone. but they have since changed this,things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
"very flexible hours, interesting work","low hourly rates, surge pricing poorly implemented",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Being able to have a good time while I do what I enjoy 🎒,Meeting and greeting peoples from all walks of life 🎒,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
"Wonderful team members, great management, great company to work for","- If you don't live in SF, your commute will suck.",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
no schedule to follow and work when you want to 24/7,absolutely NO benefits and your employment rest's on solely on passenger critique on a five star scale which is totally insane and Uber should change for real full time drivers who are totally vested in driving for Uber!,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"The reason I was attracted was its startup market. Each region has relative autonomy, so there's a good degree of breathing space. I also liked the company's overall vision.",Work/life balance needs improve. Some managers have no vision what the team should do.,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
Great company. Interview was easy. 2 phone interviews then a Skype interview. The whole process took a week. I applied on Monday did all interviews that week and was hired the following Monday.,"They treat their employees like they treat their drivers: subservient. I've never interviewed somewhere where I actually felt like the interviewers were against me. I should have taken that as a red flag, but I joined anyways and quit a month later.",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"The people, the pace, tech is fun",Have yet to see the cons. Only thing don't care for is the schedule. 4x10 and at least a Saturday or Sunday will be worked.,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
Make your own hours. Higher fares on weekends. Generally cool passengers.,"Start up, lots of uncertainty and instability",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Great for college students looking for part time job.,Airport trips. Inconsistency of fare rates. Making pickups at locations with no parking.,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"Flexible schedule, work when you want.",- no room to move up,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"No boss, very flexible, you make your own hours, meet great people, ability to network with others. Also a great environment because your in your own space!","The App has glitches from time to time, sometimes hard to capitalize on surge offers even though you are in the zone, you can get requests that take 15 mins for a short $5.00 trip...etc",income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
"flexible work schedule, decent pay, entertaining, fun, take breaks when I want to, I'm my own boss","cleaning my car, paying for my own gas, no health benefits, rude customers, rating system, if my car doesn't work I don't work",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Pros all go to Uber,"Cons….the whole endeavor. Listen, it's a racket you won't ever win at.",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Make money every day you work.,You have to work it or you won't make very much.  You have to get out there and drive,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
Uber has some of the smartest people in the valley. Everyone across the company in all the units works incredibly hard and doing extra-ordinary things. Everyone is on a mission!,"This is not for people who are looking for a comfortable and stable job and want to get by. You will have to work hard, be smart and work long. It might take a hit on your work-life balance.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Love the felixablitiy. You get to meet cool people and hear interesting story.,Remember it's still the service industry...so your still gonna deal with scrappy people.,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
Drove for uber while working 2 other jobs and as a full time student. Still able to easily find time to earn some extra cash. Able to meet other wonderful people as well. Sometimes would travel over 100 miles to see family in san diego and was still able to work uber at night,The pay is absolutely horrendous. I think my car depreciates more than I earn. There are some infuriating passengers that you got to deal with that treat your car like crap.,things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
"Flexible Hours, Be your own boss. Surge Pricing + $$$!!! Sounds great, right? I can't stress enough how great it was when I first started working for them in 2013. Then it all went downhill",App can be glitchy at times you really dont need it to. They do not take out taxes for you either so its important to take out that information before hand and put that money aside. If not youll be in trouble during tax time. a little difficult to get in contact with management when you need them,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
You manage your own time and have freedom to work when you need to. It is a very organized system that lets you be your own boss and feel good about your life.,It is very tedious work and takes some patience to drive around the city. Traffic can be an issue in big cities but the pros outweigh the cons when you realize you are actually working for yourself.,things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
You get to make your own Schedule,Can only make decent money during busy hours.,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
"Own schedule, take breaks as needed. meet new people",Traffic can be a headache.,growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
"Really interesting work, impacting millions of users globally. Very cool to be part of something so big. You get free ride credits, which is really nice.","Managers are incompetent and can't guide, advise, or control their employees. You'll be asked to make decisions you aren't qualified to make.... unless you're getting backlash for demonstrating too much independent thought and initiative. Competent people are encouraged to leave if they don't match an arbitrary and unspoken standard (which will be framed as having ""performance issues""). Budget is tight fisted and benefits...",things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
You can work whenever you want.,"The company takes 20% or more of your fare for letting you use their app plus 1 dollar per fare, and you get no tips through the app either. After all your expenses from gas, maintenence, etc. you aren't left with much.",things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
only pro is the fact of working when ever for as long as you want. I work sat nights only and average 100.00-150.00 from 8pm to 2am sat night ONLY! so I only drive sat nights.,cut pay twice in 10 months. too many drivers plus lower pay equals a bad job with streaks of good money! sat. nights are still profitable otherwise forget making even 8.00 an hour the rest of the week.,income rating feel maintenance things miles passengers support pay team,work company people lot life hard need balance uber fast
"It's fun, set your own hours, no boss, and you are in your own car.  It's really great.","It's hard to get paperwork through and updated sometimes, other times it's approved in minutes.",income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
Uber is great if you have a car that is great on gas and if you put the time into it. I got constant alerts for pick ups and never had to wait long for my next job.,"For someone with a luxury car this is not a great opportunity, while working at uber i made little to no money after gas. I continued driving because i was told after 30 days i can switch to UberSelect but i ended up finding out my car is not on the approved  list even though i was told otherwise.",things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
You control you work time,You were and tear you own car !,things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
Make your own time and it's good for if you have kids that you need  time  for etc.,Over saturated with drivers and you may get one or two pings every eight hours,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
The amount of biz is good due solely to name recognition,"Besides from stealing money from you every chance they get, support doesn't respond to emails as they don't even have a phone service. You have to go to the office to get help, which essentially wastes gas. Also, the rates are so low and the portion uber keeps is so high, you barely see any money anyway, which makes you break even after gas and maintenance. Only really worth part time if you want the small amount of extra...",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
None. This company does not care about its drivers.,The economics of driving in small city does not add up to the values lost. I will not drive my mid size sedan. Pay for gas and get $5/hour doing that while risking to get tickets and accidents and getting robbed. Maybe in NYC and LA it is woth it but in Indy it just doesnt. Not many trips. Not many earnings. I have a full time job and will do part time supervising at UPS for $12/hr...and yes they pay full benefits package....,growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
None. Flex schedule. Be own boss garbage. PR moves. No money. No fun.,Reduction in pay rate makes it difficult to make a profit because of expenses,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Drive when you want,"Constant price cuts on the backs of drivers (5 in the last year). They keep referencing ""trying to raise demand and keep you busier"" but lets face it, HOW MANY RIDES CAN U DO IN 1 HOUR!?!?! I've driven before the 1st and after the last price cut and the ""demand"" is exactly the same. I still get 3 rides an hour just for half the money I use to get. and no they wont lower commission either. In fact, they are raising commission...",things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
Work schedule is extremely flexible and work at your own pace. Salary potential is based on the hours put in. corporate discount is a plus. Base fare varies from cities.,"Your vehicle may take a toll as far as maintenance since you will be on the road often. The job can go both ways, sometimes you meet good customers sometimes you will just get very unlucky.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
good for rider but not really good money for driver,there's a lot of work to do!,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
Great equipment. Happy people.  Probably fake. Not a whole lot of good.  Oh free drinks and meals. Not bad if you eat healthy.,"Earning does not seem to be much..trips fare work out to be around $1-$1+/km including base fare+waiting time...vehicle rental avg $60/day ( vehicle Are old ) oil usage $0.16-$0.20/km...done total 15trip from 12.35pm-6pm and 10pm-12.30am total earn fare$220-$250,distance clock est 200km( ride+free time on road+traveling to rider ) .calculate ur own figure and the time spend..über cut 20% from it...location of rider is...",growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
Freedom to make your own hours.,They want your personal email in their network. They want you to download app to your phone with no info.  And you can't access their tools without putting your credit card info on file in their system as well.,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
Convenience. And you only need a pea size brain and one eye functioning to become a driver. That's all.,Must love to drive and have a car.,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Being able to drive whenever you want provides a lot of flexibility. There is a lot of enjoyment meeting diverse groups of people,No job security and over saturation of drivers. Working the entire week in NYC for over 70 hrs after paying all the expenses and uber commissions you don't even make the minimum wage. Not to mention the repair cost and maintenance cost you need to pay as your car gets old.  Most drivers are novices and rely solely on gps while driving dangerously and aggressively swirving between cars with the fear of job getting canceled.,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
"Thought it was good idea using my own car, but I am driving long distances for inappropriately low cab fares.","Not compensated in LA for traffic causing up to 50% lower hourly pay. Driver provides a $25-35,000 capital asset and receives no compensation for it and must absorb massive depreciation of the vehicle. Management not flexible in compensating drivers for Uber errors. Ex: I made $15 for 8 hours work at Coachella due to Uber's technical and logistic mistakes and management refused to compensate.",income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
There's no pros; yeah maybe meet new interesting people sometime.,Minimum charge is 4. Driver hardly makes anything on that. Surge charges help but there isn't enough. Calls come from upto 15 to 20 mins away. You can only ignore so many time until they send u email telling you the account will get suspended if calls are ignored due to customers having negative views of uber. Screw ur service to the people that ride. How about reimburse ur own guys that are making u money? I do not want...,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
"Free breakfast, lunch and dinner, open work space, nice new equipment, casual work attire. If you are a full-time employee you get Uber credits.","Very clickish if you are new ;if you are a contractor you won't fit in with the rest of the team because you are only a contractor.  Management in skme departments is very hands-off, but very disorganized structure.  If you are used to doing a lot of work, you may not get a lot of projects at first and become bored.",things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
"Request a ride and we'll be there in minutes. Very clean, well dressed employees. We play what you want to hear on the radio. Might even have portable chargers.","Loud music can distract you and run you off the road. Seat belts are a must, sitting up front or in rear.",things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"Flexibility, meeting new people and guaranteed rates for drivers","Tips - the majority of the riders believe a tip is included in the fare, which is not true.",growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
The hours are completely flexible and the pay can be great when surging. You can ski all day and drive all night.,"The pay isn't great during the day, and you take a lot of abuse to your car.",income rating feel maintenance things miles passengers support pay team,work company people lot life hard need balance uber fast
Loved working here and was always happy to get to the office.  Constantly learning new things.,"The fast pace makes the work more interesting, but also means your managers will have less time for you.",growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
"This is a job that helps when you can't find a more suitable job, but can become a trap. It is an independent contractor status. If you know your way around a city, like people and are comfortable providing service it is better than the more dire alternatives for survival. It could be a good situation part time for a student because if you are driving your own car you can define your own hours.","There can be high over head for the driver/owner of a car. In one year I replaced my brakes four times. The high mileage it puts on a car depreciates it rapidly, if you drive a car owned by someone else you will not take in as much money. There does not appear to be anywhere to go in the company if you are a driver. Only engineers and staff are taken seriously.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Sheryl Sandberg once said: 'If you're offered a seat on a rocket ship, don't ask what seat! Just get on.' Uber is a rocketship. I learned more in my first 3 months at Uber than I did in my 7 years in previous jobs. The calibre of people here is unbelievable. We are all on a mission to change the world. Right now, we are connecting riders to drivers - who knows what we will be doing in 5 years from now! Trust me - you...","We work extremely hard (because we love it), so be prepared to give up some work-life balance.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
The job duties are easy. The money earned is good. It is also a fun job.,Initial training is lacking. I was left to my own devices to figure it all out.,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"Work when you want. Go home when you want. Meet nice people most of the time, that's pretty much it.","No tips, people puking in your car, people cancel after you drive all the way there",things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
"They cater your lunch, but it's only so they can keep you in the building working to compensate for the ineffective business practices.",Too many meetings interfere with your work schedule. Special projects are added in addition to your current workload.,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
"Amazingly fast growing company, with more room to grow. Attracts good people and has locations across the globe. Startup mentality at the regional offices, with big company (hopefully) resources.","@ $40B, how much can you options really grow? It probably is great for the first group of employees, but I cannot imagine a new employee becoming an options millionaire.",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Work your own hours...and sometimes chase their imaginary ones for a supposed base pay (don't).  While you are supposedly able to determine who you pickup or not, in practice it doesn't work that way, really landing as a con.","Uber tells passengers in a not so subtle way not to worry about tip, because they sure as heck don't!  Immediately upon signup as a driver, you are bombarded with marketing to purchase a vehicle with one of Uber's partners.Some unlucky souls did this deal, and then watched city-wide fare reductions along with a new Uber ""Safe Rider fee"" (that Uber the Software takes, not the driver) that effectively equaled a pay cut,...",income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
If you put 12 to 18 hours a day you will make money,Stop being self center only uber and pay attention to driver,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"You choose your hours, meet new people, even choose the rides and when to take them.  Great if you are more laid back, have a clean car, like to chat to strangers, and have a good sense of navigation.","Low Wage, Destroy your car, lose your dignity",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Work When you want,No control.  Uber dictates everything.  You are not a 'partner.'  Uber never considers the drivers cost when they talk about salary.    You need to all low at k east $.40/ mile or you are kidding yourself,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
You choose when to drive,No cons I have zero complaints. This is the first time in my life where I look forward to coming to work.,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
"Culture, exciting stuff to work on and we are changing the world for the better!",Always changing. No real hope of becoming full-time.,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Working remotely. No micro-management. Supervisors are pretty nice folks.,"* Fast-paced work environment - if that isn't what you're after, this isn't your spot.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Choose your hours, easy job, get to see a lot of different places, get to meet a lot of people.","Not enough money unless you drive A LOT, rider ratings is EVERYTHING, the rider might rate you poorly is he/she feels that the fare is too high which is not in control of the driver.",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
"Flexibility to work when and where I want, wages were ok at first, get to meet a lot of people,  kept me out of the bars because I was picking up the drunks not being the drunk.","The #1 con that is going to destroy Uber is Travis Kalanick's EGO.  No phone number for customers nor partners (partners ha ha ha), people have no respect for your vehicle,  NO TIPPING (Uber claims that it is already included Bulls#!+), expect to average 1000 miles/week on your vehicle, you're a 1099 contractor but can be fired at will (wait is that even legal?), Uber is like the big bully in grade school going around...",growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
"Flexible schedule, drive when you want. Meet new and interesting people. Cash tips. did I say flexible schedule. Flexible schedule. Flexible schedule","Low fare rate, virtually no company support, lack of care for drivers income. No tipping. No improvement of app function after 7 months of bringing up issues with it.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Work for yourself and make your own schedule, if you can handle working late on Friday, Saturday, and Sunday with a couple week days you can make 1000.00 plus easy.","You have to be on the ready when on line and committed for 9 hours to get full pay, no tips",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"working with people,a way to socialize",can be tough sometimes,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"Choosing when I work, seeing lots of the city. Learning more about the citiy. Having interesting discussions with strangers. Making a lot of money.","Being in a car for extended hours of time, rude and careless people. Bad traffic, people not willing to recognize traffic isn't always your fault.",things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
I have found rides one after the other. good market saturation.,"uber is taking a bigger cut from my xl rides at 28%. i cant understand why, i pay for the car and gas. how do they justify this.",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
Can work when you want,"you pay so many fees to Uber per ride that you barely break even some days. Only profitable on nights/weekends when it's super busy, but there are so many drivers now so a lot more competition. The toll you take on your car is not worth it (so much maintenance and too many miles added on)",things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
"Easy money, just driving around picking people up. Somewhat fun and interesting to meet people.","They allow too many drivers to sign up and flood the streets. With so many other drivers its harder to get rides because there is only a limited amount of riders. I went from $120 in 6 hours to $50 or $60 a night. Also there is alot of downtime sitting around waiting for rides...your hourly wage rarely will average over $8 an hour, then take out gas and other expenses. Other drivers are rude or don't know where they are...",things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"After working for Uber for a couple of months now, I see that staggering difference between what Uber is perceived as and what it actually is. Filled with young, smart folks that want to see this amazing product be accessible to more and more people, it feels like folks on on a mission.","Sometimes there is a sense of being in a bubble, with folks working late night and not having a good work-life balance, creating a competitive environment that can be a bit overwhelming.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Flexible rides . make your own  schedules,rating for drivers not good. They do not tell you whats wrong so that you can improve.,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
Pick your own hours to work. You decide how much you want to potentially make. Meet interesting people sometimes.,Area I live in was very crowded with uber drivers. Not much money to be made even if you put in the time. Then they drop your rates without even telling you so it's not even worth it to drive.,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
flexability great support from the company,"To many drivers,better customer service",things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
"From day one, I felt genuinely welcomed by all of my coworkers. The Uber family is one you definitely want to be a part of, and I could not be happier here. Everyone here works their tails off, they're motivated to succeed, having bought into the idea of Uber as a whole. Best of all, the team is here to help -- whether it be on a rider or driver initiative, an issue running data analysis, creating rider and driver communications,...","If working longer hours is not of interest to you, this might not be the best option. Also, there is an emphasis on autonomy here, which is not for everyone.",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
"Not alot. Low Pay. High use of personal vehicle, all maint. paid by me.  INSURANCE Is a FARCE in this new Industry.  One word= Under-covered.  Not a good job by any stretch.","After reading the reviews, one thing becomes crystal clear, If you want to work for Uber, work in a corp. position. Being an Uber X driver sucks,,,bad.  try as I may, pay rarely goes above $15/per hour, gross. And I live and work in a good area.   Hopefully I'll get a real job soon and get as far away as I can from this rat hole.",growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
Sometimes cool people. Surge pricing.,"Very low pay, lots of risk, no tips.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
The best reason to work here is the flexibility.  You can work whenever you want.  They do offer opportunities for guaranteed fare if you work during certain times and for certain lengths of time.,"I don't really think that it is even worth giving rides unless it is surging.  You could be given a ride that it is over 10 minutes away, wait 5 minutes at pick-up, and give a 10 minute ride for a fare of $6.  Minus the %20 from uber and the $1.30 for safety fee and city fee and that is before taxes.",things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"Great pay for a Work at Home position, Good Training, Helpful staff",Contract position.  But normally the top tier workers get contract renewals,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"Absolute schedule flexibility + minimum qualifications (4 door sedan, decent driving record, positive attitude). Pay can be $40/hr late night weekends (11pm-3am), equalling $400/wk for 3 nights work. Sign-up is simple and done entirely online with video tutorials.",must stay up late nights to get surge pricing rates,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
You work as much as you want or as little as you want. Make your own schedule and work at your own pace.,Times when you have to drive for a pick up and right before you arrive your ride cancels on you. At night people don't always bhayv appropriately.,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
Freedom to work when you want to. You'll only make money working weekends/late nights but it can be fun.,"Unannounced pay cuts, high mileage/expenses. Uber isn't interested in keeping drivers in the money. They're far more focused on trying to take over the world. Rating system is bogus. Drunk people who get hit with surge pricing always give bad ratings and the driver suffers.",things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
"Easy set up, own schedule, you can work from home.",Money made is usually low-say $10-$15,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
Your are independent and this is Not bad,Be with strange people every day,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
Your time your earnings,"Even though you are a partner, they can deactivate you for any reason at any time without any warning!!",things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
If you lost any job you can do uber,"You may have to deal with obnoxious customers, but for the most part many of the customers are very pleasant.",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Own schedule, good money, entertaining. Use this code when signing up to get $100 : 1w99g","Gas, car depreciation, bad riders-customers",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
The best reason to work with uber is that there is no schedule,No benefits at all.. They should consider at least giving some opportunities to by stocks,things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
"Work at your own pace, very flexible schedule. Lots of chances to meet new people and make friends. Would come up with new promotions to motivate employees once or twice every month.","Pay is way under what is promised. Often, pay is incorrect, always less than calculated. Undependable. Lots of issues with the mobile app. Does not allow employees to receive tips yet always come up with new pay cuts.",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
